state,year,unemployment_rate
Georgia,2012,9.8
Georgia,2013,9.1
Georgia,2014,7.4
Georgia,2015,6.6
Georgia,2016,5.5
Hawaii,1992,3.4
Hawaii,1993,4.8
Hawaii,1994,5.2
Hawaii,1995,5.5
Hawaii,1996,6.3
Hawaii,1997,6.2
Hawaii,1998,5.9
Hawaii,1999,5.9
Hawaii,2000,4.7
Hawaii,2001,4.1
Hawaii,2002,5.1
Hawaii,2003,3.9
Hawaii,2004,3.8
Hawaii,2005,3.1
Hawaii,2006,2.6
Hawaii,2007,2.5
Hawaii,2008,3.2
Hawaii,2009,6.4
Hawaii,2010,7.2
Hawaii,2011,6.9
Hawaii,2012,6.8
Hawaii,2013,5.2
Hawaii,2014,4.7
Hawaii,2015,4.1
Hawaii,2016,3.1
Idaho,1992,7.8
Idaho,1993,7.8
Idaho,1994,7.1
Idaho,1995,6.9
Idaho,1996,6.8
Idaho,1997,6.7
Idaho,1998,6.6
Idaho,1999,6.3
Idaho,2000,6
Idaho,2001,5.9
Idaho,2002,7
Idaho,2003,6.8
Idaho,2004,6.6
Idaho,2005,5.6
Idaho,2006,5.3
Idaho,2007,4.5
Idaho,2008,4.1
Idaho,2009,8.7
Idaho,2010,10.5
Idaho,2011,10.1
Idaho,2012,8.9
Idaho,2013,7.7
Idaho,2014,6.3
Idaho,2015,5.3
Idaho,2016,4.8
Illinois,1992,9.3
Illinois,1993,8.5
Illinois,1994,7.6
Illinois,1995,5.7
Illinois,1996,6.2
Illinois,1997,5.9
Illinois,1998,5.4
Illinois,1999,4.7
Illinois,2000,4.7
Illinois,2001,5.4
Illinois,2002,7
Illinois,2003,7.3
Illinois,2004,7
Illinois,2005,6.4
Illinois,2006,5.4
Illinois,2007,5.2
Illinois,2008,6
Illinois,2009,8.8
Illinois,2010,12.2
Illinois,2011,10.1
Illinois,2012,9.7
Illinois,2013,10.3
Illinois,2014,8.8
Illinois,2015,6.8
Illinois,2016,6.7
Indiana,1992,6.9
Indiana,1993,6.9
Indiana,1994,5.9
Indiana,1995,4.9
Indiana,1996,5.3
Indiana,1997,3.9
Indiana,1998,3.8
Indiana,1999,3.4
Indiana,2000,3.6
Indiana,2001,4.1
Indiana,2002,6.1
Indiana,2003,5.5
Indiana,2004,5.9
Indiana,2005,6.2
Indiana,2006,5.4
Indiana,2007,5.4
Indiana,2008,5.3
Indiana,2009,9.7
Indiana,2010,11.8
Indiana,2011,10
Indiana,2012,9.2
Indiana,2013,9.5
Indiana,2014,6.6
Indiana,2015,6.1
Indiana,2016,5
Iowa,1992,5.8
Iowa,1993,5.2
Iowa,1994,4.7
Iowa,1995,4.3
Iowa,1996,4.4
Iowa,1997,4.4
Iowa,1998,3.7
Iowa,1999,3.8
Iowa,2000,3.4
Iowa,2001,3.9
Iowa,2002,4.8
Iowa,2003,5.2
Iowa,2004,5.3
Iowa,2005,5.4
Iowa,2006,4.7
Iowa,2007,4.5
Iowa,2008,4.5
Iowa,2009,6.8
Iowa,2010,7.3
Iowa,2011,6.7
Iowa,2012,6.1
Iowa,2013,6
Iowa,2014,5.3
Iowa,2015,4.8
Iowa,2016,4.4
Kansas,1992,4.8
Kansas,1993,5.4
Kansas,1994,5.6
Kansas,1995,5.4
Kansas,1996,4.6
Kansas,1997,4.7
Kansas,1998,4
Kansas,1999,3.6
Kansas,2000,3.7
Kansas,2001,4.5
Kansas,2002,5.5
Kansas,2003,5.7
Kansas,2004,6
Kansas,2005,5.8
Kansas,2006,4.9
Kansas,2007,4.6
Kansas,2008,4.6
Kansas,2009,6.2
Kansas,2010,7.7
Kansas,2011,7.4
Kansas,2012,6.4
Kansas,2013,6.1
Kansas,2014,5.1
Kansas,2015,4.7
Kansas,2016,4.2
Kentucky,1992,7.9
Kentucky,1993,7.4
Kentucky,1994,6.4
Kentucky,1995,6
Kentucky,1996,6.4
Kentucky,1997,6.8
Kentucky,1998,5.2
Kentucky,1999,5.4
Kentucky,2000,4.7
Kentucky,2001,5.2
Kentucky,2002,6.6
Kentucky,2003,6.7
Kentucky,2004,6.3
Kentucky,2005,6.1
Kentucky,2006,6.5
Kentucky,2007,6.3
Kentucky,2008,5.9
Kentucky,2009,10
Kentucky,2010,11.5
Kentucky,2011,10.7
Kentucky,2012,9
Kentucky,2013,8.9
Kentucky,2014,8.1
Kentucky,2015,6.1
Kentucky,2016,5.9
Louisiana,1992,8.2
Louisiana,1993,8.3
Louisiana,1994,8.9
Louisiana,1995,7.9
Louisiana,1996,7.5
Louisiana,1997,6.7
Louisiana,1998,5.9
Louisiana,1999,5.6
Louisiana,2000,5.5
Louisiana,2001,6.4
Louisiana,2002,6.9
Louisiana,2003,6.9
Louisiana,2004,6.6
Louisiana,2005,6.3
Louisiana,2006,6.1
Louisiana,2007,4.9
Louisiana,2008,4.8
Louisiana,2009,6.7
Louisiana,2010,8.2
Louisiana,2011,8.8
Louisiana,2012,8
Louisiana,2013,8
Louisiana,2014,5.9
Louisiana,2015,7.3
Louisiana,2016,6.4
Maine,1992,9
Maine,1993,8.3
Maine,1994,8.5
Maine,1995,7.7
Maine,1996,6.5
Maine,1997,6.1
Maine,1998,6.2
Maine,1999,4.9
Maine,2000,4.5
Maine,2001,4
Maine,2002,5
Maine,2003,5.6
Maine,2004,5.6
Maine,2005,5.6
Maine,2006,5.3
Maine,2007,5.2
Maine,2008,5.7
Maine,2009,8.4
Maine,2010,9.2
Maine,2011,9.1
Maine,2012,8.7
Maine,2013,8.2
Maine,2014,7.1
Maine,2015,5.9
Maine,2016,4.7
Maryland,1992,7.4
Maryland,1993,6.8
Maryland,1994,6.2
Maryland,1995,5.4
Maryland,1996,5.9
Maryland,1997,5.5
Maryland,1998,5.3
Maryland,1999,4.2
Maryland,2000,3.7
Maryland,2001,3.9
Maryland,2002,5.1
Maryland,2003,4.7
Maryland,2004,4.7
Maryland,2005,4.6
Maryland,2006,3.9
Maryland,2007,4
Maryland,2008,3.6
Maryland,2009,6.5
Maryland,2010,8.1
Maryland,2011,7.8
Maryland,2012,7.4
Maryland,2013,7.3
Maryland,2014,6.4
Maryland,2015,5.9
Maryland,2016,4.8
Massachusetts,1992,9.4
Massachusetts,1993,8.6
Massachusetts,1994,7.3
Massachusetts,1995,6.4
Massachusetts,1996,5.7
Massachusetts,1997,4.9
Massachusetts,1998,4.2
Massachusetts,1999,3.9
Massachusetts,2000,3.6
Massachusetts,2001,3.7
Massachusetts,2002,5.5
Massachusetts,2003,6.3
Massachusetts,2004,6.2
Massachusetts,2005,5.6
Massachusetts,2006,5.5
Massachusetts,2007,5.6
Massachusetts,2008,5.4
Massachusetts,2009,7.9
Massachusetts,2010,9.6
Massachusetts,2011,8.5
Massachusetts,2012,7.4
Massachusetts,2013,7.6
Massachusetts,2014,6.7
Massachusetts,2015,5.8
Massachusetts,2016,4.9
Michigan,1992,10.5
Michigan,1993,8.4
Michigan,1994,8.1
Michigan,1995,6
Michigan,1996,5.8
Michigan,1997,5.5
Michigan,1998,4.8
Michigan,1999,4.6
Michigan,2000,3.8
Michigan,2001,5.3
Michigan,2002,7.2
Michigan,2003,7.3
Michigan,2004,7.5
Michigan,2005,7.5
Michigan,2006,7.2
Michigan,2007,7.7
Michigan,2008,7.7
Michigan,2009,12.1
Michigan,2010,14.4
Michigan,2011,11.5
Michigan,2012,9.7
Michigan,2013,10
Michigan,2014,8.4
Michigan,2015,6.7
Michigan,2016,5.2
Minnesota,1992,6
Minnesota,1993,6.1
Minnesota,1994,5.7
Minnesota,1995,4.9
Minnesota,1996,4.9
Minnesota,1997,4.5
Minnesota,1998,3.7
Minnesota,1999,3.3
Minnesota,2000,3.9
Minnesota,2001,4.1
Minnesota,2002,5.4
Minnesota,2003,5.5
Minnesota,2004,5.9
Minnesota,2005,5.1
Minnesota,2006,5
Minnesota,2007,5.4
Minnesota,2008,5.5
Minnesota,2009,7.9
Minnesota,2010,8.5
Minnesota,2011,7.7
Minnesota,2012,6.6
Minnesota,2013,6.4
Minnesota,2014,5.5
Minnesota,2015,4.6
Minnesota,2016,4.5
Mississippi,1992,8.7
Mississippi,1993,7.7
Mississippi,1994,7.1
Mississippi,1995,6.8
Mississippi,1996,6.9
Mississippi,1997,6.6
Mississippi,1998,6
Mississippi,1999,5.7
Mississippi,2000,6.1
Mississippi,2001,5.5
Mississippi,2002,7.4
Mississippi,2003,7.3
Mississippi,2004,6.3
Mississippi,2005,7.3
Mississippi,2006,8
Mississippi,2007,6.9
Mississippi,2008,6.5
Mississippi,2009,8.7
Mississippi,2010,11.7
Mississippi,2011,10.5
Mississippi,2012,10
Mississippi,2013,10
Mississippi,2014,8.9
Mississippi,2015,7.5
Mississippi,2016,6.6
Missouri,1992,7
Missouri,1993,7.2
Missouri,1994,6.6
Missouri,1995,5.6
Missouri,1996,5.3
Missouri,1997,5.5
Missouri,1998,5.1
Missouri,1999,3.6
Missouri,2000,3.5
Missouri,2001,5
Missouri,2002,5.9
Missouri,2003,5.9
Missouri,2004,5.9
Missouri,2005,6.3
Missouri,2006,5.2
Missouri,2007,5.4
Missouri,2008,5.8
Missouri,2009,8.9
Missouri,2010,10.3
Missouri,2011,9.8
Missouri,2012,7.6
Missouri,2013,7.7
Missouri,2014,7.1
Missouri,2015,6
Missouri,2016,4.6
Montana,1992,8.3
Montana,1993,7.9
Montana,1994,6.8
Montana,1995,6.6
Montana,1996,6.9
Montana,1997,6.5
Montana,1998,6.8
Montana,1999,6.7
Montana,2000,6.3
Montana,2001,5.8
Montana,2002,5.5
Montana,2003,5.6
Montana,2004,6
Montana,2005,5.7
Montana,2006,4.8
Montana,2007,3.9
Montana,2008,5.2
Montana,2009,7.7
Montana,2010,8.4
Montana,2011,8.6
Montana,2012,7.4
Montana,2013,6.7
Montana,2014,6
Montana,2015,5.3
Montana,2016,5.3
Nebraska,1992,3.5
Nebraska,1993,3.6
Nebraska,1994,3.3
Nebraska,1995,3.1
Nebraska,1996,3.3
Nebraska,1997,3.2
Nebraska,1998,2.9
Nebraska,1999,3.3
Nebraska,2000,3.2
Nebraska,2001,3.4
Nebraska,2002,4.1
Nebraska,2003,4.4
Nebraska,2004,4.5
Nebraska,2005,4.6
Nebraska,2006,3.7
Nebraska,2007,3.4
Nebraska,2008,3.5
Nebraska,2009,4.7
Nebraska,2010,5.4
Nebraska,2011,5.1
Nebraska,2012,4.5
Nebraska,2013,4.5
Nebraska,2014,4
Nebraska,2015,3.4
Nebraska,2016,3.5
Nevada,1992,7.3
Nevada,1993,7.6
Nevada,1994,7.2
Nevada,1995,6.6
Nevada,1996,5.9
Nevada,1997,5.2
Nevada,1998,5.1
Nevada,1999,4.3
Nevada,2000,4.5
Nevada,2001,5.1
Nevada,2002,6.7
Nevada,2003,5.8
Nevada,2004,5.1
Nevada,2005,4.6
Nevada,2006,4.3
Nevada,2007,4.6
Nevada,2008,5.6
Nevada,2009,10
Nevada,2010,13.5
Nevada,2011,13.9
Nevada,2012,12.3
Nevada,2013,10.9
Nevada,2014,9
Nevada,2015,7.6
Nevada,2016,6.5
New Hampshire,1992,8.1
New Hampshire,1993,7.7
New Hampshire,1994,6.1
New Hampshire,1995,4.8
New Hampshire,1996,4.4
New Hampshire,1997,4.1
New Hampshire,1998,3.4
New Hampshire,1999,3.3
New Hampshire,2000,3.2
New Hampshire,2001,3.2
New Hampshire,2002,4.9
New Hampshire,2003,5
New Hampshire,2004,4.7
New Hampshire,2005,4.1
New Hampshire,2006,3.9
New Hampshire,2007,4.2
New Hampshire,2008,4.1
New Hampshire,2009,5.9
New Hampshire,2010,7
New Hampshire,2011,6
New Hampshire,2012,6
New Hampshire,2013,6.1
New Hampshire,2014,5.2
New Hampshire,2015,4.3
New Hampshire,2016,3.3
New Jersey,1992,8.2
New Jersey,1993,8.8
New Jersey,1994,7.7
New Jersey,1995,7
New Jersey,1996,7.1
New Jersey,1997,6.5
New Jersey,1998,5.5
New Jersey,1999,4.8
New Jersey,2000,4.2
New Jersey,2001,4.2
New Jersey,2002,6
New Jersey,2003,6.4
New Jersey,2004,5.9
New Jersey,2005,4.7
New Jersey,2006,5.2
New Jersey,2007,4.8
New Jersey,2008,5.1
New Jersey,2009,8
New Jersey,2010,10.3
New Jersey,2011,10
New Jersey,2012,9.6
New Jersey,2013,9.7
New Jersey,2014,7.5
New Jersey,2015,7
New Jersey,2016,5.2
New Mexico,1992,7.9
New Mexico,1993,7.4
New Mexico,1994,7.2
New Mexico,1995,6.8
New Mexico,1996,7.7
New Mexico,1997,7.3
New Mexico,1998,6.6
New Mexico,1999,6.3
New Mexico,2000,5.4
New Mexico,2001,5.3
New Mexico,2002,5.6
New Mexico,2003,6
New Mexico,2004,6.1
New Mexico,2005,5.7
New Mexico,2006,4.4
New Mexico,2007,4
New Mexico,2008,4.1
New Mexico,2009,6.5
New Mexico,2010,8.1
New Mexico,2011,7.9
New Mexico,2012,7.7
New Mexico,2013,7.3
New Mexico,2014,7.1
New Mexico,2015,6.7
New Mexico,2016,6.8
New York,1992,9
New York,1993,9.3
New York,1994,8.4
New York,1995,7
New York,1996,6.9
New York,1997,7.3
New York,1998,6.7
New York,1999,5.9
New York,2000,5.3
New York,2001,4.8
New York,2002,6.8
New York,2003,7
New York,2004,7.1
New York,2005,5.7
New York,2006,5.1
New York,2007,5
New York,2008,5.5
New York,2009,7.8
New York,2010,9.6
New York,2011,9
New York,2012,9.2
New York,2013,9.1
New York,2014,7.4
New York,2015,6.4
New York,2016,5.3
North Carolina,1992,6.7
North Carolina,1993,6.3
North Carolina,1994,5.1
North Carolina,1995,4.5
North Carolina,1996,5.4
North Carolina,1997,4.5
North Carolina,1998,4.2
North Carolina,1999,3.5
North Carolina,2000,3.7
North Carolina,2001,4.9
North Carolina,2002,7.4
North Carolina,2003,6.9
North Carolina,2004,6.3
North Carolina,2005,5.7
North Carolina,2006,4.8
North Carolina,2007,5.1
North Carolina,2008,5.3
North Carolina,2009,10.2
North Carolina,2010,12
North Carolina,2011,10.9
North Carolina,2012,10
North Carolina,2013,9.6
North Carolina,2014,6.9
North Carolina,2015,6.1
North Carolina,2016,5.5
North Dakota,1992,5.6
North Dakota,1993,5.4
North Dakota,1994,4.9
North Dakota,1995,4.5
North Dakota,1996,3.9
North Dakota,1997,3.7
North Dakota,1998,3.3
North Dakota,1999,4.2
North Dakota,2000,4
North Dakota,2001,3.6
North Dakota,2002,4.4
North Dakota,2003,4.8
North Dakota,2004,4.4
North Dakota,2005,4.3
North Dakota,2006,4
North Dakota,2007,3.9
North Dakota,2008,3.8
North Dakota,2009,4.9
North Dakota,2010,4.8
North Dakota,2011,4.4
North Dakota,2012,3.9
North Dakota,2013,3.8
North Dakota,2014,3.5
North Dakota,2015,3.3
North Dakota,2016,3.9
Ohio,1992,8.1
Ohio,1993,8.3
Ohio,1994,7.4
Ohio,1995,5.3
Ohio,1996,6.2
Ohio,1997,6
Ohio,1998,5.2
Ohio,1999,4.9
Ohio,2000,4.8
Ohio,2001,4.5
Ohio,2002,6.4
Ohio,2003,6.8
Ohio,2004,6.9
Ohio,2005,6.8
Ohio,2006,5.9
Ohio,2007,6.2
Ohio,2008,6.2
Ohio,2009,9.6
Ohio,2010,12
Ohio,2011,10.2
Ohio,2012,8.6
Ohio,2013,8.8
Ohio,2014,7.5
Ohio,2015,6.1
Ohio,2016,5.6
Oklahoma,1992,6.9
Oklahoma,1993,6.3
Oklahoma,1994,6.6
Oklahoma,1995,5.4
Oklahoma,1996,5.1
Oklahoma,1997,4.9
Oklahoma,1998,4.3
Oklahoma,1999,4.5
Oklahoma,2000,3.5
Oklahoma,2001,3.2
Oklahoma,2002,4.9
Oklahoma,2003,5.7
Oklahoma,2004,5.7
Oklahoma,2005,5.1
Oklahoma,2006,4.3
Oklahoma,2007,4.6
Oklahoma,2008,3.8
Oklahoma,2009,5.5
Oklahoma,2010,7.6
Oklahoma,2011,6.6
Oklahoma,2012,5.8
Oklahoma,2013,5.8
Oklahoma,2014,5.2
Oklahoma,2015,4.4
Oklahoma,2016,4.7
Oregon,1992,8.6
Oregon,1993,8.4
Oregon,1994,7.3
Oregon,1995,5.7
Oregon,1996,6.3
Oregon,1997,6.9
Oregon,1998,6.4
Oregon,1999,6.6
Oregon,2000,5.8
Oregon,2001,6
Oregon,2002,9
Oregon,2003,8.6
Oregon,2004,8.7
Oregon,2005,7.2
Oregon,2006,6.3
Oregon,2007,5.9
Oregon,2008,6
Oregon,2009,11.1
Oregon,2010,11.9
Oregon,2011,10.7
Oregon,2012,9.8
Oregon,2013,9.3
Oregon,2014,7.8
Oregon,2015,6.4
Oregon,2016,5.3
Pennsylvania,1992,8.4
Pennsylvania,1993,8
Pennsylvania,1994,7.3
Pennsylvania,1995,6.5
Pennsylvania,1996,6.8
Pennsylvania,1997,5.9
Pennsylvania,1998,5.3
Pennsylvania,1999,5.1
Pennsylvania,2000,4.7
Pennsylvania,2001,5
Pennsylvania,2002,6.3
Pennsylvania,2003,6.5
Pennsylvania,2004,6.2
Pennsylvania,2005,5.7
Pennsylvania,2006,5.2
Pennsylvania,2007,5
Pennsylvania,2008,5.4
Pennsylvania,2009,7.8
Pennsylvania,2010,9.5
Pennsylvania,2011,8.6
Pennsylvania,2012,8.3
Pennsylvania,2013,8.8
Pennsylvania,2014,6.8
Pennsylvania,2015,5.9
Pennsylvania,2016,5.5
Rhode Island,1992,10.2
Rhode Island,1993,9.4
Rhode Island,1994,8.7
Rhode Island,1995,7.9
Rhode Island,1996,7.1
Rhode Island,1997,6.6
Rhode Island,1998,6.1
Rhode Island,1999,5.7
Rhode Island,2000,5.2
Rhode Island,2001,5.2
Rhode Island,2002,5.9
Rhode Island,2003,6.4
Rhode Island,2004,6.3
Rhode Island,2005,6
Rhode Island,2006,6.1
Rhode Island,2007,5.7
Rhode Island,2008,7.2
Rhode Island,2009,11.1
Rhode Island,2010,12.1
Rhode Island,2011,12
Rhode Island,2012,12.2
Rhode Island,2013,10.5
Rhode Island,2014,9.8
Rhode Island,2015,7.5
Rhode Island,2016,6.4
South Carolina,1992,7.4
South Carolina,1993,7.6
South Carolina,1994,7.6
South Carolina,1995,5.8
South Carolina,1996,6
South Carolina,1997,6
South Carolina,1998,4
South Carolina,1999,4.4
South Carolina,2000,4.3
South Carolina,2001,4.6
South Carolina,2002,6.3
South Carolina,2003,7.4
South Carolina,2004,7.3
South Carolina,2005,7.1
South Carolina,2006,6.8
South Carolina,2007,6.5
South Carolina,2008,6
South Carolina,2009,10.6
South Carolina,2010,12.4
South Carolina,2011,11.3
South Carolina,2012,10.2
South Carolina,2013,9.1
South Carolina,2014,6.6
South Carolina,2015,6.8
South Carolina,2016,5.7
South Dakota,1992,4
South Dakota,1993,4.2
South Dakota,1994,3.9
South Dakota,1995,3.8
South Dakota,1996,3.8
South Dakota,1997,3.8
South Dakota,1998,3.6
South Dakota,1999,3.4
South Dakota,2000,3.1
South Dakota,2001,3.2
South Dakota,2002,4
South Dakota,2003,4
South Dakota,2004,4.2
South Dakota,2005,4.6
South Dakota,2006,3.7
South Dakota,2007,3.6
South Dakota,2008,3.1
South Dakota,2009,5
South Dakota,2010,5.9
South Dakota,2011,5.8
South Dakota,2012,5
South Dakota,2013,4.6
South Dakota,2014,4.1
South Dakota,2015,3.8
South Dakota,2016,3.4
Tennessee,1992,7.7
Tennessee,1993,7.1
Tennessee,1994,5.9
Tennessee,1995,5.4
Tennessee,1996,6
Tennessee,1997,6.3
Tennessee,1998,4.9
Tennessee,1999,4.8
Tennessee,2000,4.3
Tennessee,2001,4.5
Tennessee,2002,6.6
Tennessee,2003,5.8
Tennessee,2004,5.8
Tennessee,2005,6.3
Tennessee,2006,5.7
Tennessee,2007,5.1
Tennessee,2008,5.9
Tennessee,2009,9.8
Tennessee,2010,11.2
Tennessee,2011,10.1
Tennessee,2012,8.3
Tennessee,2013,8.7
Tennessee,2014,6.9
Tennessee,2015,6.7
Tennessee,2016,5
Texas,1992,8.1
Texas,1993,8.1
Texas,1994,7.5
Texas,1995,6.4
Texas,1996,6.6
Texas,1997,6
Texas,1998,5.2
Texas,1999,4.9
Texas,2000,4.8
Texas,2001,4.3
Texas,2002,6.4
Texas,2003,7
Texas,2004,6.6
Texas,2005,5.9
Texas,2006,5.3
Texas,2007,4.7
Texas,2008,4.6
Texas,2009,6.4
Texas,2010,8.6
Texas,2011,8.3
Texas,2012,7.3
Texas,2013,7
Texas,2014,5.7
Texas,2015,4.7
Texas,2016,4.5
Utah,1992,5.3
Utah,1993,4.8
Utah,1994,4
Utah,1995,4.1
Utah,1996,3.6
Utah,1997,3.5
Utah,1998,3.7
Utah,1999,3.9
Utah,2000,3.4
Utah,2001,4.1
Utah,2002,5.7
Utah,2003,6.2
Utah,2004,5.7
Utah,2005,4.7
Utah,2006,3.8
Utah,2007,2.7
Utah,2008,3.3
Utah,2009,6.6
Utah,2010,8.4
Utah,2011,7.9
Utah,2012,6.2
Utah,2013,5.4
Utah,2014,4.4
Utah,2015,3.9
Utah,2016,3.8
Vermont,1992,7.5
Vermont,1993,6.4
Vermont,1994,5.8
Vermont,1995,5.1
Vermont,1996,5.2
Vermont,1997,4.9
Vermont,1998,4.4
Vermont,1999,3.9
Vermont,2000,3.4
Vermont,2001,3.7
Vermont,2002,4.4
Vermont,2003,5.1
Vermont,2004,4.8
Vermont,2005,4.2
Vermont,2006,4.3
Vermont,2007,4.6
Vermont,2008,5
Vermont,2009,6.8
Vermont,2010,7
Vermont,2011,6.6
